question_id,question_text,correct_answer,context_text,keywords,answer_POS,answer_concept_type,difficulty_level,distractor_text,distractor_POS,semantic_similarity_to_answer,semantic_similarity_to_question,grammar_score,plausibility_label,error_type
136,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Second,UNKNOWN,0.29,0.19,0.96,0,numeric error
137,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,C++,NOUN,0.63,0.57,0.97,1,
138,The powerhouse of the cell is known as what?,Mitochondria,"In cell biology, mitochondria are often called the powerhouse of the cell because they generate energy.","cell, powerhouse, mitochondria",NOUN,cell_component,easy,Nucleus,NOUN,0.62,0.55,0.98,1,
139,H2O is commonly known as what?,Water,"In everyday language, the chemical formula H2O is commonly referred to as water.","H2O, water, chemical formula",NOUN,substance,easy,Oxygen,NOUN,0.83,0.8,0.97,1,
140,What is the capital city of Japan?,Tokyo,Tokyo is the capital city and one of the major economic centers of Japan.,"Japan, capital, Tokyo",NOUN,place,easy,Osaka,NOUN,0.67,0.61,0.97,1,
141,What is the boiling point of pure water at sea level in degrees Celsius?,100,"At standard atmospheric pressure, pure water boils at 100 degrees Celsius.","boiling point, water, Celsius",NUM,number,easy,90,NUM,0.81,0.78,0.97,1,
142,Which of the following is a relational database management system?,MySQL,MySQL is a widely used open-source relational database management system.,"MySQL, RDBMS, database",NOUN,software,medium,PostgreSQL,NOUN,0.81,0.74,0.97,1,
143,What is the capital city of Japan?,Tokyo,Tokyo is the capital city and one of the major economic centers of Japan.,"Japan, capital, Tokyo",NOUN,place,easy,Yokohama,NOUN,0.61,0.56,0.99,1,
144,What is the boiling point of pure water at sea level in degrees Celsius?,100,"At standard atmospheric pressure, pure water boils at 100 degrees Celsius.","boiling point, water, Celsius",NUM,number,easy,105,NUM,0.79,0.73,1,1,
145,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Pascal,NOUN,0.65,0.62,1,1,
146,CPU is also known as the what of the computer?,Brain,The CPU is often called the brain of the computer because it performs most of the processing.,"CPU, brain, computer",NOUN,metaphor,easy,Core,NOUN,0.72,0.68,0.98,1,
147,Which data structure follows the Last In First Out principle?,Stack,A stack is a linear data structure that follows the Last In First Out (LIFO) principle.,"stack, LIFO, data structure",NOUN,data_structure,medium,Array,NOUN,0.82,0.75,0.99,1,
148,RAM in a computer is also known as what type of memory?,Volatile,RAM is called volatile memory because it loses its data when power is turned off.,"RAM, volatile memory, computer",ADJECTIVE,property,medium,Temporary,ADJECTIVE,0.85,0.8,0.99,1,
149,Which of the following is a prime number?,13,A prime number has exactly two distinct positive divisors: 1 and itself.,"prime number, 13, mathematics",NUM,number,medium,12,NUM,0.24,0.16,0.96,0,concept mismatch
150,Which of the following sorting algorithms has average time complexity O(n log n)?,Merge Sort,Merge Sort is a divide-and-conquer sorting algorithm with O(n log n) average time complexity.,"sorting, merge sort, algorithms",NOUN,algorithm,hard,Binary Search,UNKNOWN,0.48,0.45,1,0,too unrelated
151,CPU is also known as the what of the computer?,Brain,The CPU is often called the brain of the computer because it performs most of the processing.,"CPU, brain, computer",NOUN,metaphor,easy,Control Center,NOUN,0.68,0.66,0.96,1,
152,Which of the following is a cloud computing platform by Amazon?,AWS,Amazon Web Services (AWS) is a popular cloud computing platform.,"AWS, cloud computing, Amazon",NOUN,service,medium,Microsoft Azure,NOUN,0.73,0.71,0.98,1,
153,Which data structure follows the Last In First Out principle?,Stack,A stack is a linear data structure that follows the Last In First Out (LIFO) principle.,"stack, LIFO, data structure",NOUN,data_structure,medium,Queue,NOUN,0.75,0.72,1,1,
154,Which data structure follows the First In First Out principle?,Queue,A queue is a linear data structure that follows the First In First Out (FIFO) principle.,"queue, FIFO, data structure",NOUN,data_structure,medium,Array Index,NOUN,0.46,0.43,0.99,0,too unrelated
155,What is the freezing point of pure water in degrees Celsius?,0,"Under standard conditions, pure water freezes at 0 degrees Celsius.","freezing point, water, Celsius",NUM,number,easy,-50,UNKNOWN,0.33,0.26,0.97,0,numeric error
156,The study of the stars and space is known as what?,Astronomy,"Astronomy is the scientific study of celestial objects such as stars, planets, and galaxies.","astronomy, stars, space",NOUN,academic_discipline,easy,Astrophysics,NOUN,0.7,0.63,0.98,1,
157,CPU stands for what?,Central Processing Unit,"CPU stands for Central Processing Unit, which performs most of the processing inside a computer.","CPU, Central Processing Unit, computer",NOUN_PHRASE,abbreviation_expansion,easy,Control Power Unit,NOUN_PHRASE,0.52,0.44,0.97,0,too unrelated
158,CPU is also known as the what of the computer?,Brain,The CPU is often called the brain of the computer because it performs most of the processing.,"CPU, brain, computer",NOUN,metaphor,easy,Control Center,NOUN,0.6,0.54,0.97,1,
159,Which data structure follows the First In First Out principle?,Queue,A queue is a linear data structure that follows the First In First Out (FIFO) principle.,"queue, FIFO, data structure",NOUN,data_structure,medium,Deque,NOUN,0.64,0.6,0.97,1,
160,Earth is also known as the what planet?,Blue,Earth is often called the Blue Planet because of the vast amount of water on its surface.,"Earth, Blue Planet, nickname",ADJECTIVE,planet_nickname,easy,Water,ADJECTIVE,0.78,0.75,0.97,1,
161,RAM in a computer is also known as what type of memory?,Volatile,RAM is called volatile memory because it loses its data when power is turned off.,"RAM, volatile memory, computer",ADJECTIVE,property,medium,Main,ADJECTIVE,0.67,0.63,1,1,
162,What is the largest planet in our solar system?,Jupiter,"Jupiter is the largest planet in our solar system, known for its Great Red Spot.","Jupiter, largest planet, solar system",NOUN,planet,easy,Neptune,NOUN,0.77,0.73,0.99,1,
163,Earth is also known as the what planet?,Blue,Earth is often called the Blue Planet because of the vast amount of water on its surface.,"Earth, Blue Planet, nickname",ADJECTIVE,planet_nickname,easy,Water,ADJECTIVE,0.83,0.8,0.99,1,
164,Who is known as the Father of the Nation in India?,Mahatma Gandhi,Mahatma Gandhi is widely regarded as the Father of the Nation in India for his role in the independence movement.,"Mahatma Gandhi, Father of the Nation, India",NOUN,person,easy,William Shakespeare,NOUN,0.23,0.22,0.98,0,concept mismatch
165,The device that connects a local network to the internet is called what?,Router,A router forwards data packets between computer networks and connects to the internet.,"router, network, internet",NOUN,hardware,medium,Modem,NOUN,0.65,0.61,0.96,1,
166,Which of the following animals is a reptile?,Snake,"Reptiles are cold-blooded vertebrates such as snakes, lizards, and turtles.","reptile, snake, animal",NOUN,animal,easy,Cow,NOUN,0.49,0.44,0.99,0,numeric error
167,Which of the following is an example of an output device?,Monitor,Output devices such as monitors display information to the user.,"output device, monitor, computer hardware",NOUN,hardware,easy,Printer,NOUN,0.66,0.61,0.97,1,
168,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,SQL,NOUN,0.26,0.2,0.99,0,concept mismatch
169,The study of the stars and space is known as what?,Astronomy,"Astronomy is the scientific study of celestial objects such as stars, planets, and galaxies.","astronomy, stars, space",NOUN,academic_discipline,easy,Space Science,NOUN,0.77,0.75,0.96,1,
170,Which of the following is a web browser?,Google Chrome,Web browsers like Google Chrome allow users to access and view websites.,"web browser, Chrome, internet",NOUN,software,easy,Microsoft Edge,NOUN,0.81,0.75,1,1,
171,HTTP stands for what?,HyperText Transfer Protocol,HTTP is the protocol used for transferring web pages on the internet.,"HTTP, protocol, web",NOUN_PHRASE,abbreviation_expansion,medium,High Text Transfer Process,NOUN_PHRASE,0.34,0.25,1,0,too unrelated
172,Who is known as the Father of Computers?,Charles Babbage,Charles Babbage is often called the Father of Computers for his work on early mechanical computing devices.,"Charles Babbage, Father of Computers, history",NOUN,person,medium,John von Neumann,NOUN,0.74,0.67,1,1,
173,HTTP stands for what?,HyperText Transfer Protocol,HTTP is the protocol used for transferring web pages on the internet.,"HTTP, protocol, web",NOUN_PHRASE,abbreviation_expansion,medium,HyperText Transmission Protocol,NOUN_PHRASE,0.79,0.75,0.98,1,
174,Earth is also known as the what planet?,Blue,Earth is often called the Blue Planet because of the vast amount of water on its surface.,"Earth, Blue Planet, nickname",ADJECTIVE,planet_nickname,easy,Home,ADJECTIVE,0.76,0.72,0.97,1,
175,The branch of mathematics dealing with shapes and sizes is called what?,Geometry,Geometry is a branch of mathematics that studies the properties of shapes and spaces.,"geometry, shapes, mathematics",NOUN,academic_discipline,medium,History,NOUN,0.31,0.22,0.97,0,too unrelated
176,Earth is also known as the what planet?,Blue,Earth is often called the Blue Planet because of the vast amount of water on its surface.,"Earth, Blue Planet, nickname",ADJECTIVE,planet_nickname,easy,Living,ADJECTIVE,0.82,0.8,1,1,
177,Which of the following is an example of an open-source operating system?,Linux,Linux is a popular open-source operating system used on servers and desktops.,"Linux, open-source, operating system",NOUN,software,easy,Ubuntu,NOUN,0.68,0.61,0.96,1,
178,The study of the stars and space is known as what?,Astronomy,"Astronomy is the scientific study of celestial objects such as stars, planets, and galaxies.","astronomy, stars, space",NOUN,academic_discipline,easy,Space Science,NOUN,0.68,0.64,1,1,
179,Which of the following is a relational database management system?,MySQL,MySQL is a widely used open-source relational database management system.,"MySQL, RDBMS, database",NOUN,software,medium,SQLite,NOUN,0.82,0.77,0.99,1,
180,Which of the following is a prime number?,13,A prime number has exactly two distinct positive divisors: 1 and itself.,"prime number, 13, mathematics",NUM,number,medium,12,NUM,0.34,0.26,0.98,0,concept mismatch
181,Which of the following is an example of an input device?,Keyboard,Input devices like keyboards allow users to send data to a computer.,"input device, keyboard, computer hardware",NOUN,hardware,easy,Mouse,NOUN,0.7,0.64,0.99,1,
182,Which of the following is a primary color in light?,Red,"Primary colors in light are typically red, green, and blue.","primary color, light, red",NOUN,color,easy,Yellow,NOUN,0.65,0.58,0.98,1,
183,The long-term storage device inside a computer is commonly known as what?,Hard drive,A hard drive or SSD is used for long-term data storage in a computer.,"hard drive, storage, computer",NOUN,hardware,easy,RAM,UNKNOWN,0.39,0.32,0.99,0,numeric error
184,The study of the stars and space is known as what?,Astronomy,"Astronomy is the scientific study of celestial objects such as stars, planets, and galaxies.","astronomy, stars, space",NOUN,academic_discipline,easy,Astrophysics,NOUN,0.69,0.65,1,1,
185,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,JavaScript,NOUN,0.65,0.61,0.98,1,
186,RAM in a computer is also known as what type of memory?,Volatile,RAM is called volatile memory because it loses its data when power is turned off.,"RAM, volatile memory, computer",ADJECTIVE,property,medium,Main,ADJECTIVE,0.69,0.62,0.96,1,
187,Which of the following is an example of an operating system for mobile phones?,Android,Android is a widely used operating system for smartphones and tablets.,"Android, mobile OS, operating system",NOUN,software,easy,Windows Phone,NOUN,0.83,0.78,0.98,1,
188,The study of living organisms is called what?,Biology,Biology is the branch of science that studies living organisms and life processes.,"biology, living organisms, life science",NOUN,academic_discipline,easy,Ecology,NOUN,0.73,0.67,0.99,1,
189,The powerhouse of the cell is known as what?,Mitochondria,"In cell biology, mitochondria are often called the powerhouse of the cell because they generate energy.","cell, powerhouse, mitochondria",NOUN,cell_component,easy,Nucleus,NOUN,0.7,0.66,0.97,1,
190,CPU stands for what?,Central Processing Unit,"CPU stands for Central Processing Unit, which performs most of the processing inside a computer.","CPU, Central Processing Unit, computer",NOUN_PHRASE,abbreviation_expansion,easy,Control Power Unit,NOUN_PHRASE,0.3,0.21,0.96,0,concept mismatch
191,Which data structure follows the Last In First Out principle?,Stack,A stack is a linear data structure that follows the Last In First Out (LIFO) principle.,"stack, LIFO, data structure",NOUN,data_structure,medium,Queue,NOUN,0.72,0.65,0.96,1,
192,The device that connects a local network to the internet is called what?,Router,A router forwards data packets between computer networks and connects to the internet.,"router, network, internet",NOUN,hardware,medium,Modem,NOUN,0.77,0.74,0.96,1,
193,Which layer of the OSI model is responsible for routing packets?,Network layer,The network layer is responsible for routing packets between devices in different networks.,"OSI model, network layer, routing",NOUN_PHRASE,networking_layer,hard,Session layer,NOUN_PHRASE,0.64,0.57,1,1,
194,Which data structure follows the First In First Out principle?,Queue,A queue is a linear data structure that follows the First In First Out (FIFO) principle.,"queue, FIFO, data structure",NOUN,data_structure,medium,Linked List,NOUN,0.63,0.6,0.96,1,
195,CPU stands for what?,Central Processing Unit,"CPU stands for Central Processing Unit, which performs most of the processing inside a computer.","CPU, Central Processing Unit, computer",NOUN_PHRASE,abbreviation_expansion,easy,Core Processing Unit,NOUN_PHRASE,0.69,0.66,0.97,1,
196,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Pascal,NOUN,0.83,0.79,0.96,1,
197,Which of the following is an example of an input device?,Keyboard,Input devices like keyboards allow users to send data to a computer.,"input device, keyboard, computer hardware",NOUN,hardware,easy,Mouse,NOUN,0.71,0.64,0.97,1,
198,The study of living organisms is called what?,Biology,Biology is the branch of science that studies living organisms and life processes.,"biology, living organisms, life science",NOUN,academic_discipline,easy,Botany,NOUN,0.82,0.74,0.98,1,
199,CPU stands for what?,Central Processing Unit,"CPU stands for Central Processing Unit, which performs most of the processing inside a computer.","CPU, Central Processing Unit, computer",NOUN_PHRASE,abbreviation_expansion,easy,Central Performance Unit,NOUN_PHRASE,0.74,0.7,0.97,1,
200,The powerhouse of the cell is known as what?,Mitochondria,"In cell biology, mitochondria are often called the powerhouse of the cell because they generate energy.","cell, powerhouse, mitochondria",NOUN,cell_component,easy,Brain,NOUN,0.27,0.23,0.99,0,too unrelated
201,RAM in a computer is also known as what type of memory?,Volatile,RAM is called volatile memory because it loses its data when power is turned off.,"RAM, volatile memory, computer",ADJECTIVE,property,medium,Optical,ADJECTIVE,0.52,0.42,0.99,0,concept mismatch
202,Which of the following is an example of an output device?,Monitor,Output devices such as monitors display information to the user.,"output device, monitor, computer hardware",NOUN,hardware,easy,Printer,NOUN,0.75,0.71,0.97,1,
203,Which of the following is a web browser?,Google Chrome,Web browsers like Google Chrome allow users to access and view websites.,"web browser, Chrome, internet",NOUN,software,easy,Mozilla Firefox,NOUN,0.66,0.61,0.98,1,
204,The branch of mathematics dealing with shapes and sizes is called what?,Geometry,Geometry is a branch of mathematics that studies the properties of shapes and spaces.,"geometry, shapes, mathematics",NOUN,academic_discipline,medium,Algebra,NOUN,0.75,0.71,0.97,1,
205,HTTP stands for what?,HyperText Transfer Protocol,HTTP is the protocol used for transferring web pages on the internet.,"HTTP, protocol, web",NOUN_PHRASE,abbreviation_expansion,medium,Hyper Terminal Transport Protocol,NOUN_PHRASE,0.43,0.39,0.98,0,too unrelated
206,HTML is primarily used for what?,Structuring web pages,HTML is a markup language used to structure content on the web.,"HTML, web pages, markup",VERB_PHRASE,technology_usage,easy,Compiling code,VERB_PHRASE,0.39,0.34,0.98,0,concept mismatch
207,Which of the following is a primary color in light?,Red,"Primary colors in light are typically red, green, and blue.","primary color, light, red",NOUN,color,easy,Blue,NOUN,0.73,0.7,0.98,1,
208,Which of the following sorting algorithms has average time complexity O(n log n)?,Merge Sort,Merge Sort is a divide-and-conquer sorting algorithm with O(n log n) average time complexity.,"sorting, merge sort, algorithms",NOUN,algorithm,hard,Heap Sort,NOUN,0.8,0.73,1,1,
209,Which of the following is a web browser?,Google Chrome,Web browsers like Google Chrome allow users to access and view websites.,"web browser, Chrome, internet",NOUN,software,easy,Mozilla Firefox,NOUN,0.73,0.67,0.99,1,
210,Which of the following is an operating system?,Windows,Operating systems like Windows manage computer hardware and software resources.,"operating system, Windows, software",NOUN,software,easy,Google,UNKNOWN,0.24,0.23,0.98,0,too unrelated
211,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Kelvin,UNKNOWN,0.41,0.38,1,0,too unrelated
212,Which of the following is an operating system?,Windows,Operating systems like Windows manage computer hardware and software resources.,"operating system, Windows, software",NOUN,software,easy,Android,NOUN,0.62,0.55,0.97,1,
213,What is the capital city of Japan?,Tokyo,Tokyo is the capital city and one of the major economic centers of Japan.,"Japan, capital, Tokyo",NOUN,place,easy,Osaka,NOUN,0.75,0.71,0.96,1,
214,HTTP stands for what?,HyperText Transfer Protocol,HTTP is the protocol used for transferring web pages on the internet.,"HTTP, protocol, web",NOUN_PHRASE,abbreviation_expansion,medium,Hyper Terminal Transport Protocol,UNKNOWN,0.41,0.31,0.98,0,concept mismatch
215,CPU stands for what?,Central Processing Unit,"CPU stands for Central Processing Unit, which performs most of the processing inside a computer.","CPU, Central Processing Unit, computer",NOUN_PHRASE,abbreviation_expansion,easy,Central Performance Unit,NOUN_PHRASE,0.77,0.73,0.99,1,
216,Which of the following is an example of a mammal?,Dog,Mammals are warm-blooded animals that usually have hair and produce milk for their young.,"mammal, dog, animal",NOUN,animal,easy,Horse,NOUN,0.84,0.82,0.97,1,
217,The language that a computer's CPU directly understands is called what?,Machine language,Machine language consists of binary instructions that the CPU can execute directly.,"machine language, binary, CPU",NOUN_PHRASE,language_type,medium,Assembly language,NOUN_PHRASE,0.68,0.61,0.98,1,
218,Which layer of the OSI model is responsible for routing packets?,Network layer,The network layer is responsible for routing packets between devices in different networks.,"OSI model, network layer, routing",NOUN_PHRASE,networking_layer,hard,Session layer,NOUN_PHRASE,0.78,0.71,0.97,1,
219,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,Java,NOUN,0.62,0.55,0.97,1,
220,What is the freezing point of pure water in degrees Celsius?,0,"Under standard conditions, pure water freezes at 0 degrees Celsius.","freezing point, water, Celsius",NUM,number,easy,10,NUM,0.71,0.63,0.98,1,
221,Which of the following animals is a reptile?,Snake,"Reptiles are cold-blooded vertebrates such as snakes, lizards, and turtles.","reptile, snake, animal",NOUN,animal,easy,Turtle,NOUN,0.65,0.62,0.98,1,
222,Which data structure follows the Last In First Out principle?,Stack,A stack is a linear data structure that follows the Last In First Out (LIFO) principle.,"stack, LIFO, data structure",NOUN,data_structure,medium,Deque,NOUN,0.75,0.69,0.98,1,
223,Which of the following is an example of an input device?,Keyboard,Input devices like keyboards allow users to send data to a computer.,"input device, keyboard, computer hardware",NOUN,hardware,easy,Microphone,NOUN,0.76,0.72,0.98,1,
224,Which of the following is a cloud computing platform by Amazon?,AWS,Amazon Web Services (AWS) is a popular cloud computing platform.,"AWS, cloud computing, Amazon",NOUN,service,medium,Docker,NOUN,0.3,0.25,1,0,too unrelated
225,What is the boiling point of pure water at sea level in degrees Celsius?,100,"At standard atmospheric pressure, pure water boils at 100 degrees Celsius.","boiling point, water, Celsius",NUM,number,easy,50,NUM,0.24,0.16,0.96,0,concept mismatch
226,Which of the following is an example of an open-source operating system?,Linux,Linux is a popular open-source operating system used on servers and desktops.,"Linux, open-source, operating system",NOUN,software,easy,macOS,NOUN,0.54,0.53,0.97,0,concept mismatch
227,What is the boiling point of pure water at sea level in degrees Celsius?,100,"At standard atmospheric pressure, pure water boils at 100 degrees Celsius.","boiling point, water, Celsius",NUM,number,easy,90,NUM,0.74,0.71,0.96,1,
228,Which data structure follows the Last In First Out principle?,Stack,A stack is a linear data structure that follows the Last In First Out (LIFO) principle.,"stack, LIFO, data structure",NOUN,data_structure,medium,Queue,NOUN,0.61,0.55,0.99,1,
229,Which of the following is an example of an output device?,Monitor,Output devices such as monitors display information to the user.,"output device, monitor, computer hardware",NOUN,hardware,easy,Keyboard,NOUN,0.4,0.34,1,0,numeric error
230,Which of the following is a relational database management system?,MySQL,MySQL is a widely used open-source relational database management system.,"MySQL, RDBMS, database",NOUN,software,medium,Oracle Database,NOUN,0.63,0.59,1,1,
231,Which data structure follows the Last In First Out principle?,Stack,A stack is a linear data structure that follows the Last In First Out (LIFO) principle.,"stack, LIFO, data structure",NOUN,data_structure,medium,Condition,NOUN,0.28,0.25,0.96,0,too unrelated
232,The process of water turning into vapor is called what?,Evaporation,Evaporation is the process by which water changes from liquid to gas.,"evaporation, water, vapor",NOUN,scientific_process,easy,Sublimation,NOUN,0.83,0.77,0.98,1,
233,Which of the following is a web browser?,Google Chrome,Web browsers like Google Chrome allow users to access and view websites.,"web browser, Chrome, internet",NOUN,software,easy,Windows,NOUN,0.42,0.42,0.97,0,numeric error
234,Which data structure follows the First In First Out principle?,Queue,A queue is a linear data structure that follows the First In First Out (FIFO) principle.,"queue, FIFO, data structure",NOUN,data_structure,medium,Pointer,NOUN,0.46,0.4,1,0,too unrelated
235,The process by which green plants make their own food is called what?,Photosynthesis,Photosynthesis is the process by which green plants use sunlight to make food from carbon dioxide and water.,"photosynthesis, plants, sunlight",NOUN,scientific_process,easy,Respiration,NOUN,0.75,0.7,0.99,1,
236,HTML is primarily used for what?,Structuring web pages,HTML is a markup language used to structure content on the web.,"HTML, web pages, markup",VERB_PHRASE,technology_usage,easy,Writing backend logic,VERB_PHRASE,0.61,0.56,0.98,1,
237,CPU stands for what?,Central Processing Unit,"CPU stands for Central Processing Unit, which performs most of the processing inside a computer.","CPU, Central Processing Unit, computer",NOUN_PHRASE,abbreviation_expansion,easy,Central Performance Unit,NOUN_PHRASE,0.77,0.7,0.99,1,
238,Earth is also known as the what planet?,Blue,Earth is often called the Blue Planet because of the vast amount of water on its surface.,"Earth, Blue Planet, nickname",ADJECTIVE,planet_nickname,easy,Home,ADJECTIVE,0.75,0.71,0.97,1,
239,CPU is also known as the what of the computer?,Brain,The CPU is often called the brain of the computer because it performs most of the processing.,"CPU, brain, computer",NOUN,metaphor,easy,Core,NOUN,0.76,0.71,1,1,
240,RAM in a computer is also known as what type of memory?,Volatile,RAM is called volatile memory because it loses its data when power is turned off.,"RAM, volatile memory, computer",ADJECTIVE,property,medium,Main,ADJECTIVE,0.76,0.69,1,1,
241,HTML is primarily used for what?,Structuring web pages,HTML is a markup language used to structure content on the web.,"HTML, web pages, markup",VERB_PHRASE,technology_usage,easy,Running operating systems,VERB_PHRASE,0.43,0.36,0.96,0,numeric error
242,The study of living organisms is called what?,Biology,Biology is the branch of science that studies living organisms and life processes.,"biology, living organisms, life science",NOUN,academic_discipline,easy,Geometry,NOUN,0.31,0.25,0.98,0,numeric error
243,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Watt,NOUN,0.6,0.56,0.98,1,
244,What is the freezing point of pure water in degrees Celsius?,0,"Under standard conditions, pure water freezes at 0 degrees Celsius.","freezing point, water, Celsius",NUM,number,easy,100,NUM,0.26,0.25,0.99,0,numeric error
245,The powerhouse of the cell is known as what?,Mitochondria,"In cell biology, mitochondria are often called the powerhouse of the cell because they generate energy.","cell, powerhouse, mitochondria",NOUN,cell_component,easy,Nucleus,NOUN,0.66,0.59,0.98,1,
246,Which of the following is an example of an output device?,Monitor,Output devices such as monitors display information to the user.,"output device, monitor, computer hardware",NOUN,hardware,easy,Printer,NOUN,0.77,0.73,0.98,1,
247,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Watt,NOUN,0.7,0.67,0.98,1,
248,H2O is commonly known as what?,Water,"In everyday language, the chemical formula H2O is commonly referred to as water.","H2O, water, chemical formula",NOUN,substance,easy,Paper,NOUN,0.43,0.34,0.99,0,too unrelated
249,What is the boiling point of pure water at sea level in degrees Celsius?,100,"At standard atmospheric pressure, pure water boils at 100 degrees Celsius.","boiling point, water, Celsius",NUM,number,easy,95,NUM,0.8,0.78,0.97,1,
250,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,JavaScript,NOUN,0.69,0.66,0.98,1,
251,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,JavaScript,NOUN,0.83,0.77,0.97,1,
252,Which of the following is an example of an open-source operating system?,Linux,Linux is a popular open-source operating system used on servers and desktops.,"Linux, open-source, operating system",NOUN,software,easy,macOS,NOUN,0.39,0.3,0.98,0,too unrelated
253,What is the freezing point of pure water in degrees Celsius?,0,"Under standard conditions, pure water freezes at 0 degrees Celsius.","freezing point, water, Celsius",NUM,number,easy,5,NUM,0.63,0.56,0.98,1,
254,HTML is primarily used for what?,Structuring web pages,HTML is a markup language used to structure content on the web.,"HTML, web pages, markup",VERB_PHRASE,technology_usage,easy,Designing web layout,VERB_PHRASE,0.73,0.69,0.99,1,
255,The study of living organisms is called what?,Biology,Biology is the branch of science that studies living organisms and life processes.,"biology, living organisms, life science",NOUN,academic_discipline,easy,Zoology,NOUN,0.64,0.61,0.98,1,
256,RAM in a computer is also known as what type of memory?,Volatile,RAM is called volatile memory because it loses its data when power is turned off.,"RAM, volatile memory, computer",ADJECTIVE,property,medium,Temporary,ADJECTIVE,0.69,0.66,0.99,1,
257,Which of the following is a web browser?,Google Chrome,Web browsers like Google Chrome allow users to access and view websites.,"web browser, Chrome, internet",NOUN,software,easy,Safari,NOUN,0.65,0.58,0.97,1,
258,Which layer of the OSI model is responsible for routing packets?,Network layer,The network layer is responsible for routing packets between devices in different networks.,"OSI model, network layer, routing",NOUN_PHRASE,networking_layer,hard,Session layer,NOUN_PHRASE,0.75,0.71,0.98,1,
259,Which of the following is a cloud computing platform by Amazon?,AWS,Amazon Web Services (AWS) is a popular cloud computing platform.,"AWS, cloud computing, Amazon",NOUN,service,medium,Microsoft Azure,NOUN,0.66,0.61,0.97,1,
260,What is the capital city of Japan?,Tokyo,Tokyo is the capital city and one of the major economic centers of Japan.,"Japan, capital, Tokyo",NOUN,place,easy,Beijing,NOUN,0.4,0.38,0.99,0,concept mismatch
261,The powerhouse of the cell is known as what?,Mitochondria,"In cell biology, mitochondria are often called the powerhouse of the cell because they generate energy.","cell, powerhouse, mitochondria",NOUN,cell_component,easy,Nucleus,NOUN,0.75,0.73,0.97,1,
262,Which of the following is an example of an output device?,Monitor,Output devices such as monitors display information to the user.,"output device, monitor, computer hardware",NOUN,hardware,easy,Projector,NOUN,0.68,0.64,0.99,1,
263,CSS is mainly used for what in web development?,Styling web pages,CSS is used to control the appearance and layout of web pages.,"CSS, styling, web design",VERB_PHRASE,technology_usage,easy,Structuring web pages,VERB_PHRASE,0.83,0.79,0.99,1,
264,CSS is mainly used for what in web development?,Styling web pages,CSS is used to control the appearance and layout of web pages.,"CSS, styling, web design",VERB_PHRASE,technology_usage,easy,Structuring web pages,VERB_PHRASE,0.73,0.7,0.98,1,
265,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,Java,NOUN,0.79,0.73,0.96,1,
266,RAM in a computer is also known as what type of memory?,Volatile,RAM is called volatile memory because it loses its data when power is turned off.,"RAM, volatile memory, computer",ADJECTIVE,property,medium,External,ADJECTIVE,0.52,0.51,0.96,0,too unrelated
267,Which of the following is a cloud computing platform by Amazon?,AWS,Amazon Web Services (AWS) is a popular cloud computing platform.,"AWS, cloud computing, Amazon",NOUN,service,medium,Kubernetes,NOUN,0.49,0.48,0.97,0,numeric error
268,Which of the following is an example of a mammal?,Dog,Mammals are warm-blooded animals that usually have hair and produce milk for their young.,"mammal, dog, animal",NOUN,animal,easy,Horse,NOUN,0.68,0.64,0.98,1,
269,Which of the following is an example of an operating system for mobile phones?,Android,Android is a widely used operating system for smartphones and tablets.,"Android, mobile OS, operating system",NOUN,software,easy,iOS,NOUN,0.77,0.75,0.98,1,
270,Who is known as the Father of the Nation in India?,Mahatma Gandhi,Mahatma Gandhi is widely regarded as the Father of the Nation in India for his role in the independence movement.,"Mahatma Gandhi, Father of the Nation, India",NOUN,person,easy,Leonardo da Vinci,NOUN,0.53,0.47,0.97,0,too unrelated
